what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425101301
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425112549
activated,view,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui.views.tasks,1245425113157
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245425114614
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425121007
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425127492
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245425141586
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245425160034
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245425201145
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245425201317
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245425201485
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245425201669
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245425201860
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245425202131
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245425203319
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425583143
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425585503
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425585563
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425588355
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425622027
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425662484
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425662700
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245425663133
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245425730824
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1245425771955
