what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245771091337
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245771094540
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245771094951
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245771094977
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245771097152
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245771101825
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1245771103527
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1245771105669
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245771108546
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245771120586
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245771123398
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245771129445
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1245771131036
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1245771133430
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245771136221
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245771139967
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245771167344
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245771174513
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1245771176126
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1245771177964
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245771180846
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245771219857
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245771252337
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245771254928
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1245771256691
