what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182207360
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182208062
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182208721
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182209514
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182210406
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182216059
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182216455
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182216532
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1245182218450
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Resume,1245182218604
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.VariableView,1245182233574
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1245182257422
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Resume,1245182257588
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Terminate,1245182261388
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182264519
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182264605
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245182265545
activated,perspective,org.eclipse.ui.ide.application,,org.eclipse.ui.resourcePerspective,1245182273189
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1245182277035
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245182278604
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245182297259
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245182300329
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1245182303086
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182306453
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245182308447
