what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1241620463733
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textStart,1241620471930
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1241620492419
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1241620497178
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1241620501691
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620504697
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620556537
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620556908
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620557082
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620559820
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620559821
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620559902
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620593918
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620594436
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620594996
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.debug,1241620601051
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620603927
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620606640
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620606788
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620606965
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620610100
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620621361
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620623476
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620670450
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241620670494
