what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1245690544203
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245690544439
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1245690550890
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245690551116
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1245690560189
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245690560253
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1245690587624
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245690591279
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1245690594403
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1245690597327
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245690599975
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245690635685
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1245690658290
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245690660552
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1245690662540
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245690666332
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1245690668120
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1245690671199
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245690673917
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245690718061
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245690718170
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245690719244
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245690720515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245690720792
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245690720821
