what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1246292385500
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1246292385741
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1246292385785
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1246292385833
started,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1246292385952
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.104.v200902121909,org.eclipse.wst.jsdt.web.core,1246292386323
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1246292387700
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1246292393681
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246292394539
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1246292398348
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246292398781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246292399423
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246292406271
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246292406295
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246292410557
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246292410596
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246292591652
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246292591703
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246295972527
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246295972568
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246295972833
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246295972958
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246296087028
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246296087123
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246296175117
