what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741701489
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741709025
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244741710943
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244741721038
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244741721043
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244741721248
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741726088
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244741726922
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244741729090
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741730664
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244741732843
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244741739670
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741748648
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741750040
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741751945
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741753824
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741755497
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741756329
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741757081
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741757961
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741758625
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741759457
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741760193
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1244741760737
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244741761534
