what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1251313781920
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1251313785802
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313789618
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313790940
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1251313792328
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1251313795326
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313798216
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313810701
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1251313817974
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1251313821424
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313823650
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313833252
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313833284
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313833459
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1251313837824
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1251313839710
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1251313841654
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313844470
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313852065
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313852384
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313852561
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313861798
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313878611
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313878635
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251313883677
