what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643722231
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1241643727139
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1241643741972
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1241643742752
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1241643757458
executed,command,com.adobe.flexbuilder.editors.common,3.0.204732,com.adobe.flexbuilder.editors.common.toggle.comment,1241643768512
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643788719
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643788911
executed,command,com.adobe.flexbuilder.editors.common,3.0.204732,com.adobe.flexbuilder.editors.common.toggle.comment,1241643792862
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1241643794780
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643797919
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643800807
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1241643802268
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.debug,1241643806443
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643809547
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643839356
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1241643840752
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1241643848349
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643849321
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643851645
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1241643854021
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.debug,1241643860363
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643877751
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643881703
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241643881824
