what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308552210
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1251308587035
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308589756
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308591708
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308591781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308598120
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308598180
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308600972
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308615529
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308615602
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1251308616845
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1251308620797
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308621095
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308624144
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308627205
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308663490
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1251308667938
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1251308673419
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308674076
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308746609
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308746663
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308747137
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308747609
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308747866
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251308748701
