what,kind,bundleId,bundleVersion,description,time
executed,command,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.go.to.definition,1245780613235
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245780635026
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245780719162
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245780871886
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245780914508
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1245780916999
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1245780919610
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245780922274
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245780951735
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245780951992
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245780956055
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245780956578
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245780961480
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245780961482
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245781022324
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245781022397
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245781024689
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245781025067
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245781616740
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245781620863
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245781622812
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245781624434
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245781626306
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1245781634480
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1245781636508
