what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245859894470
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245859894651
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245860623265
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245860659581
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245860662988
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245860663549
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245860672187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245862007336
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245862007667
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245862007823
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245862009453
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1245862018870
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1245862022459
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1245862029237
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1245862029540
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1245862029861
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1245862033592
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1245862033818
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1245862034104
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1245862034313
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1245862034627
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1245862034834
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1245862035211
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1245862035442
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.redo,1245862042561
