what,kind,bundleId,bundleVersion,description,time
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1251486887073
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1251486889917
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1251486914217
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1251486919633
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1251486923601
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1251486929802
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251486935173
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251486935438
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251486948839
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251486964964
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251486971756
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251486973703
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1251486989401
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1251486990454
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1251486994409
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1251486994717
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1251486996403
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251486998342
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251486999139
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1251487000394
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1251487002727
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251487005799
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251487563249
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251487563326
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251487563494
