what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244736897795
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244736907788
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244736908145
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244736934563
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244736990696
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244736999601
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244737023754
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244737043448
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244737044163
opened,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1244737044181
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1244737044366
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1244737053181
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1244737053327
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1244737060390
opened,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1244737060490
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1244737060606
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1244737067007
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1244737122612
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244737125001
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1244737134521
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1244737134626
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1244737134657
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.renameResource,1244737136978
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244737137094
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244737172285
