what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245094450348
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245094452610
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245094452614
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245094455256
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245094455271
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245094652083
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245094652193
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245094652345
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245094663314
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245096113006
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245096113646
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245096113662
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1245096117574
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245096120217
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245097437652
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245097437948
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245097438069
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245097532536
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1245097557014
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245097560726
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245097608183
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245097608501
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245097608594
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1245097643479
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1245097666297
