what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412140870
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412142805
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412142934
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412266106
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412266523
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412266731
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1237412272442
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412282326
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412282461
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412282906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412795315
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1237412808274
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412829526
opened,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1237412851412
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.6,org.tigris.subversion.clientadapter.javahl,1237412851482
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.6,org.tigris.subversion.clientadapter.svnkit,1237412851495
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1237412851576
started,bundle,org.tmatesoft.svnkit,1.2.2.5405,org.tmatesoft.svnkit,1237412851639
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1237412851852
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1237412856461
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1237412862618
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1237412864500
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1237412865434
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1237412866624
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1237412866877
