what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265183733
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265184515
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245265199144
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245265200439
executed,command,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.go.to.definition,1245265200450
opened,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245265203570
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245265203863
executed,command,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.go.to.definition,1245265203870
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265207275
executed,command,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.go.to.definition,1245265209384
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265209457
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265212019
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265214596
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265214602
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265401137
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.findReplace,1245265405039
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265405130
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265412718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265412727
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265413467
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1245265417182
executed,command,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.go.to.definition,1245265419923
executed,command,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.go.to.definition,1245265421243
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.findReplace,1245265423549
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245265423652
