what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1241583476026
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Terminate,1241583487171
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583489538
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583495384
started,bundle,org.eclipse.wst.xsl.debug.ui,0.5.0.v20080811,org.eclipse.wst.xsl.debug.ui,1241583502213
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583507383
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583508845
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583513651
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583519597
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1241583520894
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1241583525674
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Resume,1241583525725
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1241583531171
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1241583535299
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Resume,1241583535353
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1241583544981
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.VariableView,1241583548262
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1241583583117
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1241583583306
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1241583597268
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583599958
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583632679
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583632754
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583644222
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241583644304
