what,kind,bundleId,bundleVersion,description,time
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1251409969709
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251409972753
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410011330
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410011357
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410011447
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1251410011665
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textStart,1251410021346
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1251410028919
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1251410031991
executed,command,com.adobe.flexbuilder.debug.ui,3.0.204732,com.adobe.flexbuilder.debug.ui.flexLaunchShortcut.run,1251410036181
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410039011
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410054844
activated,editor,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1251410057446
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410524168
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410555379
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410556341
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410557281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410557378
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410707127
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410707549
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410707622
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1251410714893
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410735406
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410736989
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1251410737099
